Software,Version
Microsoft OneDrive,25.010.0119.0002
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005,12.0.21005.1
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30139,14.29.30139.0
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30135,14.29.30135.0
Sentinel Agent,24.1.257
WIN32 CAL Client,3.1.4.160
Photo Booth,13
Pass Viewer,1
parrot,2.7.0
ParentalControls,4.1
Paired Devices,4.4.0
iCloud,1
iCloud Drive,1
iCloud Drive,13.5
iCloud+,1
iCloudUserNotificationsd,1
identityservicesd,10
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,9.0.30729
IDSRemoteURLConnectionAgent,10
Microsoft POS for .NET 1.14.1,1.14.1708.8001
Intel(R) Serial IO,30.100.1915.1
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.28902
Microsoft Update Health Tools,3.74.0.0
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40649,12.0.40649.5
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433,14.42.34433.0
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433,14.42.34433.0
Microsoft Windows Desktop Runtime - 6.0.36 (x86),6.0.36.34217
Microsoft Windows Desktop Runtime - 8.0.22 (x86),8.0.22.35428
OpenVPN 2.6.12-I001 amd64,2.6.1201
Patch Management Service Controller,2.13.9.5611
Realtek Audio Driver,6.0.9376.1
Request Handler Agent,2.13.9.5113
Sentinel Agent,25.1.334
Update for x64-based Windows Systems (KB5001716),8.94.0.0
Zoom(64bit),5.12.9281
Intel(R) Chipset Device Software,10.1.18121.8164
Intel(R) Management Engine Components,1937.12.0.1312
Intel(R) Processor Graphics,26.20.100.7323
Intel(R) Wireless Bluetooth(R),21.40.1.1
Microsoft OneDrive,25.222.1112.0002
Image Capture,8
imagent,10
Rosetta 2 Updater,1
RMM Task Display,3.9.2
RMM Notification Service,3.9.2
Remote Desktop Message,3.9.8
Reminders,7
RegisterPluginIMApp,26.2
