Site Name,Device Hostname,Device Description,Software,Version
Hollywood Grande (Formerly: Thompson),LAXTHLCON,LAXTHLCON,Microsoft OneDrive,25.010.0119.0002
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005,12.0.21005.1
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30139,14.29.30139.0
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30135,14.29.30135.0
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Sentinel Agent,24.1.257
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),WIN32 CAL Client,3.1.4.160
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,Photo Booth,13
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,Pass Viewer,1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,parrot,2.7.0
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,ParentalControls,4.1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,Paired Devices,4.4.0
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,iCloud,1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,iCloud Drive,1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,iCloud Drive,13.5
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,iCloud+,1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,iCloudUserNotificationsd,1
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,identityservicesd,10
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,9.0.30729
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,IDSRemoteURLConnectionAgent,10
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Microsoft POS for .NET 1.14.1,1.14.1708.8001
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Intel(R) Serial IO,30.100.1915.1
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Teams Meeting Add-in for Microsoft Office,1.25.28902
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Update Health Tools,3.74.0.0
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40649,12.0.40649.5
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433,14.42.34433.0
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433,14.42.34433.0
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Windows Desktop Runtime - 6.0.36 (x86),6.0.36.34217
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft Windows Desktop Runtime - 8.0.22 (x86),8.0.22.35428
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,OpenVPN 2.6.12-I001 amd64,2.6.1201
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Patch Management Service Controller,2.13.9.5611
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Realtek Audio Driver,6.0.9376.1
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Request Handler Agent,2.13.9.5113
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Sentinel Agent,25.1.334
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Update for x64-based Windows Systems (KB5001716),8.94.0.0
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Zoom(64bit),5.12.9281
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Intel(R) Chipset Device Software,10.1.18121.8164
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Intel(R) Management Engine Components,1937.12.0.1312
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Intel(R) Processor Graphics,26.20.100.7323
Hollywood Grande (Formerly: Thompson),LAXKNPR7-014,Bar Lis (Bar Station Left),Intel(R) Wireless Bluetooth(R),21.40.1.1
Hollywood Grande (Formerly: Thompson),LAXTH-WS8,LAXTH-WS8,Microsoft OneDrive,25.222.1112.0002
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,Image Capture,8
Hollywood Grande (Formerly: Thompson),TFH-M-03.local,Shelby Watson,imagent,10
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Rosetta 2 Updater,1
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,RMM Task Display,3.9.2
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,RMM Notification Service,3.9.2
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Remote Desktop Message,3.9.8
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Reminders,7
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,RegisterPluginIMApp,26.2
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Recursive Image File Processing Droplet,1
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Recursive File Processing Droplet,1
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,Recents,15.5
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,rcd,362
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,RapportUIAgent,6.8.0
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,QuickTime Player,10.5
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,QuickLookUIHelper,5
Hollywood Grande (Formerly: Thompson),TFH-M-14.local,Amanda Overstreet,quicklookd,5
